,name,price,pixel,min_iso,max_iso,continuous_shooting_performance,shutter_speed,monitor_size,monitor_pixel,max_num_of_shooting,four_k,wifi,touch_panel,move_panel,weight,width,height,depth,frame_id,maker_id,finder_id,f_value,max_num_of_shooting_with_finder,bluetooth,zoom,min_focus,max_focus,selfie,waterproof,gps,nearest_shot,anti_shake,five_axis_anti_shake,nearest_shot_with_macro_mode,f_value_wide,super_wide,open_year,open_month,camera_type_id
346,EOS 9000D ダブルズームキット,95980,2420,,5120,6.0,1/4000〜30 秒,3.0,104.0,270,False,True,True,バリアングル液晶,493.0,131.0,99.9,76.2,3.0,4,45,,600,Bluetooth 4.1,,,,False,　,False,,　,False,,,False,2017,4,3
347,α77 II ILCA-77M2 ボディ,116649,2430,,5120,12.0,1/8000〜30 秒,3.0,122.8,480,False,True,False,3軸チルト液晶,647.0,142.6,104.2,80.9,3.0,1,27,,410,　,,,,False,○,False,,○,False,,,False,2014,6,3
348,EOS Kiss X8i EF-S18-55 IS STM レンズキット,50659,2420,,2560,5.0,1/4000〜30 秒,3.0,104.0,200,False,True,True,バリアングル液晶,510.0,131.9,100.7,77.8,3.0,4,45,,550,　,,,,False,　,False,,　,False,,,False,2015,4,3
349,D810 24-120 VR レンズキット,270276,3635,,51200,6.0,1/8000〜30 秒,3.2,122.9,,False,False,False,　,880.0,146.0,123.0,81.5,2.0,3,43,,1200,　,,,,False,○,False,,　,False,,,False,2015,2,3
350,D5300 AF-P 18-55 VR キット,46550,2416,,25600,5.0,1/4000〜30 秒,3.2,104.0,,False,True,False,バリアングル液晶,480.0,125.0,98.0,76.0,3.0,3,44,,600,　,,,,True,　,True,,　,False,,,False,2017,2,3
351,α99 II ILCA-99M2 ボディ,289800,4240,,10240,12.0,1/8000〜30 秒,3.0,122.8,490,True,True,False,3軸チルト液晶,770.0,142.6,104.2,76.1,2.0,1,27,,390,Bluetooth 4.1,,,,True,○,False,,○,True,,,False,2016,11,3
352,D610 ボディ,94180,2426,,25600,6.0,1/4000〜30 秒,3.2,92.0,,False,False,False,　,760.0,141.0,113.0,82.0,2.0,3,43,,900,　,,,,False,○,False,,　,False,,,False,2013,10,3
353,D5600 18-55 VR レンズキット,64979,2416,,,5.0,1/4000〜30 秒,3.2,104.0,,False,True,True,バリアングル液晶,415.0,124.0,97.0,70.0,3.0,3,44,,970,Bluetooth 4.1,,,,True,　,False,,　,False,,,False,2016,11,3
354,D3400 18-55 VR レンズキット,42644,2416,,,5.0,1/4000〜30 秒,3.0,92.0,,False,False,False,　,395.0,124.0,98.0,75.5,3.0,3,44,,1200,Bluetooth 4.1,,,,False,　,False,,　,False,,,False,2016,9,3
355,EOS 5D Mark IV EF24-105L IS II USM レンズキット,375400,3040,,10240,7.0,1/8000～30 秒,3.2,162.0,300,True,True,True,　,800.0,150.7,116.4,75.9,2.0,4,43,,900,　,,,,False,○,True,,　,False,,,False,2016,11,3
356,EOS Kiss X9 ボディ,54880,2420,,5120,5.0,1/4000〜30 秒,3.0,104.0,290,False,True,True,バリアングル液晶,406.0,122.4,92.6,69.8,3.0,4,45,,840,Bluetooth 4.1,,,,True,　,False,,　,False,,,False,2017,7,3
357,D5 CF-Type ボディ,482800,2082,,3280000,14.0,1/8000〜30 秒,3.2,236.0,,True,False,True,　,1240.0,160.0,158.5,92.0,2.0,3,43,,3780,　,,,,False,○,False,,　,False,,,False,2016,3,3
358,D5600 18-140 VR レンズキット,80000,2416,,,5.0,1/4000〜30 秒,3.2,104.0,,False,True,True,バリアングル液晶,415.0,124.0,97.0,70.0,3.0,3,44,,970,Bluetooth 4.1,,,,True,　,False,,　,False,,,False,2016,11,3
359,EOS 9000D ボディ,78800,2420,,5120,6.0,1/4000〜30 秒,3.0,104.0,270,False,True,True,バリアングル液晶,493.0,131.0,99.9,76.2,3.0,4,45,,600,Bluetooth 4.1,,,,False,　,False,,　,False,,,False,2017,4,3
360,EOS 5Ds R ボディ,347477,5060,,1280,5.0,1/8000〜30 秒,3.2,104.0,220,False,False,False,　,845.0,152.0,116.4,76.4,2.0,4,43,,700,　,,,,False,○,False,,　,False,,,False,2015,6,3
361,EOS Kiss X90 EF-S18-55 IS II レンズキット,46620,2410,,1280,3.0,1/4000〜30 秒,3.0,92.0,260,False,True,False,　,427.0,129.0,101.3,77.6,3.0,4,45,,600,　,,,,False,　,False,,　,False,,,False,2018,3,3
362,PENTAX K-1 Mark II 28-105WRキット,256907,3640,,,6.4,1/8000〜30 秒,3.2,103.7,,False,True,False,フレキシブルチルト式液晶,925.0,136.5,110.0,85.5,2.0,20,43,,670,　,,,,False,○,True,,○,True,,,False,2018,4,3
363,PENTAX K-1 ボディ,159800,3640,,,6.5,1/8000〜30 秒,3.2,103.7,,False,True,False,フレキシブルチルト式液晶,925.0,136.5,110.0,85.5,2.0,20,43,,760,　,,,,False,○,True,,○,True,,,False,2016,4,3
364,EOS 6D EF24-70L IS USM レンズキット,170863,2020,,10240,4.5,1/4000〜30 秒,3.0,104.0,220,False,True,False,　,680.0,144.5,110.5,71.2,2.0,4,43,,1090,　,,,,False,○,True,,　,False,,,False,2012,12,3
365,EOS 5D Mark IV EF24-70L IS USM レンズキット,345000,3040,,10240,7.0,1/8000～30 秒,3.2,162.0,300,True,True,True,　,800.0,150.7,116.4,75.9,2.0,4,43,,900,　,,,,False,○,True,,　,False,,,False,2016,9,3
366,D7200 18-140 VR レンズキット,105000,2416,,102400,7.0,1/8000〜30 秒,3.2,122.9,,False,True,False,　,675.0,135.5,106.5,76.0,3.0,3,43,,1110,　,,,,False,○,False,,　,False,,,False,2015,3,3
367,D3500 ボディ,53460,2416,,,5.0,1/4000〜30 秒,3.0,92.0,,False,False,False,　,365.0,124.0,97.0,69.5,3.0,3,44,,1550,Bluetooth 4.1,,,,False,　,False,,　,False,,,False,2018,9,3
368,D5600 ボディ,62000,2416,,,5.0,1/4000〜30 秒,3.2,104.0,,False,True,True,バリアングル液晶,415.0,124.0,97.0,70.0,3.0,3,44,,970,Bluetooth 4.1,,,,True,　,False,,　,False,,,False,2016,11,3
369,EOS 6D EF24-105 IS STM レンズキット,137800,2020,,10240,4.5,1/4000〜30 秒,3.0,104.0,220,False,True,False,　,680.0,144.5,110.5,71.2,2.0,4,43,,1090,　,,,,False,○,True,,　,False,,,False,2017,2,3
370,EOS Kiss X8i ボディ,47988,2420,,2560,5.0,1/4000〜30 秒,3.0,104.0,200,False,True,True,バリアングル液晶,510.0,131.9,100.7,77.8,3.0,4,45,,550,　,,,,False,　,False,,　,False,,,False,2015,4,3
371,EOS 5D Mark III EF24-70L IS U レンズキット,252975,2230,,10240,6.0,1/8000〜30 秒,3.2,104.0,200,False,False,False,　,860.0,152.0,116.4,76.4,2.0,4,43,,950,　,,,,False,○,False,,　,False,,,False,2013,6,3
372,EOS-1D X ボディ,429840,1810,,20480,14.0,1/8000〜30 秒,3.2,104.0,290,False,False,False,　,1340.0,158.0,163.6,82.7,2.0,4,43,,1120,　,,,,False,○,False,,　,False,,,False,2012,6,3
373,D810A ボディ,289980,3635,,51200,6.0,1/8000〜30 秒,3.2,122.9,,False,False,False,　,880.0,146.0,123.0,81.5,2.0,3,43,,1200,　,,,,False,　,False,,　,False,,,False,2015,5,3
374,EOS Kiss X9i EF-S18-135 IS USM レンズキット,103453,2420,,5120,6.0,1/4000〜30 秒,3.0,104.0,270,False,True,True,バリアングル液晶,485.0,131.0,99.9,76.2,3.0,4,45,,600,Bluetooth 4.1,,,,False,　,False,,　,False,,,False,2017,4,3
375,EOS 5D Mark III ボディ,239999,2230,,10240,6.0,1/8000〜30 秒,3.2,104.0,200,False,False,False,　,860.0,152.0,116.4,76.4,2.0,4,43,,950,　,,,,False,○,False,,　,False,,,False,2012,3,3
376,D7200 18-300 VR スーパーズームキット,139800,2416,,102400,7.0,1/8000〜30 秒,3.2,122.9,,False,True,False,　,675.0,135.5,106.5,76.0,3.0,3,43,,1110,　,,,,False,○,False,,　,False,,,False,2015,3,3
377,D5500 ダブルズームキット,65980,2416,,,5.0,1/4000〜30 秒,3.2,104.0,,False,True,True,バリアングル液晶,420.0,124.0,97.0,70.0,3.0,3,44,,820,　,,,,True,　,False,,　,False,,,False,2015,2,3
378,D3400 ボディ,40600,2416,,,5.0,1/4000〜30 秒,3.0,92.0,,False,False,False,　,395.0,124.0,98.0,75.5,3.0,3,44,,1200,Bluetooth 4.1,,,,False,　,False,,　,False,,,False,2016,9,3
379,Df 50mm f/1.8G Special Editionキット,216686,1625,,204800,5.5,1/4000〜30 秒,3.2,92.0,,False,False,False,　,710.0,143.5,110.0,66.5,2.0,3,43,,1400,　,,,,False,○,False,,　,False,,,False,2013,11,3
380,EOS 7D Mark II EF-S18-135 IS USM レンズキット W-E1,159679,2020,,5120,10.0,1/8000〜30 秒,3.0,104.0,270,False,True,False,　,820.0,148.6,112.4,78.2,3.0,4,43,,800,　,,,,False,○,True,,　,False,,,False,2016,9,3
381,EOS Kiss X9i ボディ,82699,2420,,5120,6.0,1/4000〜30 秒,3.0,104.0,270,False,True,True,バリアングル液晶,485.0,131.0,99.9,76.2,3.0,4,45,,600,Bluetooth 4.1,,,,False,　,False,,　,False,,,False,2017,4,3
382,α77 II ILCA-77M2Q ズームレンズキット,155000,2430,,5120,12.0,1/8000〜30 秒,3.0,122.8,480,False,True,False,3軸チルト液晶,647.0,142.6,104.2,80.9,3.0,1,27,,410,　,,,,False,○,False,,○,False,,,False,2014,6,3
383,EOS Kiss X90 ボディ,46479,2410,,1280,3.0,1/4000〜30 秒,3.0,92.0,260,False,True,False,　,427.0,129.0,101.3,77.6,3.0,4,45,,600,　,,,,False,　,False,,　,False,,,False,2018,3,3
384,EOS 80D EF-S18-55 IS STM レンズキット,94789,2420,,2560,7.0,1/8000〜30 秒,3.0,104.0,340,False,True,True,バリアングル液晶,650.0,139.0,105.2,78.5,3.0,4,43,,1390,　,,,,False,○,False,,　,False,,,False,2016,3,3
385,PENTAX 645Z ボディ,519800,5140,,,3.0,1/4000〜30 秒,3.2,103.7,,False,False,False,チルト式液晶,1470.0,156.0,117.0,123.0,1.0,20,46,,650,　,,,,False,○,False,,　,False,,,False,2014,6,3
386,D3500 ダブルズームキット,89091,2416,,,5.0,1/4000〜30 秒,3.0,92.0,,False,False,False,　,365.0,124.0,97.0,69.5,3.0,3,44,,1550,Bluetooth 4.1,,,,False,　,False,,　,False,,,False,2018,9,3
387,D7000 ボディ,58800,1620,,25600,6.0,1/8000〜30 秒,3.0,92.0,,False,False,False,　,690.0,132.0,105.0,77.0,3.0,3,43,,1050,　,,,,False,○,False,,　,False,,,False,2010,10,3
388,EOS 70D ボディ,94824,2020,,2560,7.0,1/8000〜30 秒,3.0,104.0,230,False,True,True,バリアングル液晶,675.0,139.0,104.3,78.5,3.0,4,43,,1300,　,,,,False,○,False,,　,False,,,False,2013,8,3
389,D610 24-85 VR レンズキット,132784,2426,,25600,6.0,1/4000〜30 秒,3.2,92.0,,False,False,False,　,760.0,141.0,113.0,82.0,2.0,3,43,,900,　,,,,False,○,False,,　,False,,,False,2013,10,3
390,EOS 8000D ダブルズームキット,78000,2420,,2560,5.0,1/4000〜30 秒,3.0,104.0,200,False,True,True,バリアングル液晶,520.0,131.9,100.9,77.8,3.0,4,45,,550,　,,,,False,　,False,,　,False,,,False,2015,4,3
391,H6D-400C MS ボディ,6229440,,,,,1/2000〜 秒,3.0,92.0,　,False,True,True,　,,,,,1.0,21,2,,,　,,,,False,　,False,,　,False,,,False,,,3
392,PENTAX K-3 II 18-135WR レンズキット,119800,2435,,,8.3,1/8000〜30 秒,3.2,103.7,,False,False,False,　,700.0,131.5,102.5,77.5,3.0,20,43,,720,　,,,,False,○,True,,○,False,,,False,2015,5,3
393,D3500 18-55 VR レンズキット,62605,2416,,,5.0,1/4000〜30 秒,3.0,92.0,,False,False,False,　,365.0,124.0,97.0,69.5,3.0,3,44,,1550,Bluetooth 4.1,,,,False,　,False,,　,False,,,False,2018,9,3
394,D810 24-85 VR レンズキット,235729,3635,,51200,6.0,1/8000〜30 秒,3.2,122.9,,False,False,False,　,880.0,146.0,123.0,81.5,2.0,3,43,,1200,　,,,,False,○,False,,　,False,,,False,2014,7,3
395,EOS 6D EF24-105L IS USM レンズキット,228420,2020,,10240,4.5,1/4000〜30 秒,3.0,104.0,220,False,True,False,　,680.0,144.5,110.5,71.2,2.0,4,43,,1090,　,,,,False,○,True,,　,False,,,False,2012,11,3
396,D5300 18-55 VR IIレンズキット,51500,2416,,25600,5.0,1/4000〜30 秒,3.2,104.0,,False,True,False,バリアングル液晶,480.0,125.0,98.0,76.0,3.0,3,44,,600,　,,,,True,　,True,,　,False,,,False,2014,2,3
397,D5500 18-140 VR レンズキット,80000,2416,,,5.0,1/4000〜30 秒,3.2,104.0,,False,True,True,バリアングル液晶,420.0,124.0,97.0,70.0,3.0,3,44,,820,　,,,,True,　,False,,　,False,,,False,2015,2,3
398,D5500 18-55 VR II レンズキット,59799,2416,,,5.0,1/4000〜30 秒,3.2,104.0,,False,True,True,バリアングル液晶,420.0,124.0,97.0,70.0,3.0,3,44,,820,　,,,,True,　,False,,　,False,,,False,2015,2,3
399,PENTAX K-1 Limited Silver,198000,3640,,,6.5,1/8000～30 秒,3.2,103.7,,False,True,False,フレキシブルチルト式液晶,925.0,136.5,110.0,85.5,2.0,20,43,,760,　,,,,False,○,True,,○,True,,,False,2017,9,3
400,D610 28-300 VR レンズキット,193000,2426,,25600,6.0,1/4000〜30 秒,3.2,92.0,,False,False,False,　,760.0,141.0,113.0,82.0,2.0,3,43,,900,　,,,,False,○,False,,　,False,,,False,2013,10,3
401,EOS 7D Mark II EF-S18-135 IS STM レンズキット,149707,2020,,5120,10.0,1/8000〜30 秒,3.0,104.0,270,False,False,False,　,820.0,148.6,112.4,78.2,3.0,4,43,,800,　,,,,False,○,True,,　,False,,,False,2014,10,3
402,PENTAX K-3 ボディ,88172,2435,,,8.3,1/8000〜30 秒,3.2,103.7,,False,False,False,　,715.0,131.5,100.0,77.5,3.0,20,43,,720,　,,,,False,○,False,,○,False,,,False,2013,11,3
403,EOS Kiss X7 ダブルレンズキット 2,85802,1800,,2560,4.0,1/4000〜30 秒,3.0,104.0,160,False,False,True,　,373.0,116.8,90.7,69.4,3.0,4,45,,480,　,,,,False,　,False,,　,False,,,False,2014,5,3
404,PENTAX K-50 18-135WRキット,54000,1628,,,6.0,1/6000〜30 秒,3.0,92.1,,False,False,False,　,590.0,129.0,96.5,70.0,3.0,20,43,,1250,　,,,,False,○,False,,○,False,,,False,2013,7,3
405,D750 24-85 VR レンズキット,213840,2432,,51200,6.5,1/4000～30 秒,3.2,122.9,,False,True,False,チルト式液晶,750.0,140.5,113.0,78.0,2.0,3,43,,1230,　,,,,False,○,False,,　,False,,,False,2014,9,3
406,EOS 5Ds ボディ,424680,5060,,1280,5.0,1/8000〜30 秒,3.2,104.0,220,False,False,False,　,845.0,152.0,116.4,76.4,2.0,4,43,,700,　,,,,False,○,False,,　,False,,,False,2015,6,3
407,EOS Kiss X80 EF-S18-55 IS II レンズキット,47799,1800,,1280,3.0,1/4000〜30 秒,3.0,92.0,190,False,True,False,　,440.0,129.0,101.3,77.6,3.0,4,45,,600,　,,,,False,　,False,,　,False,,,False,2016,4,3
408,EOS Kiss X8i EF-S18-135 IS USM レンズキット,88350,2420,,2560,5.0,1/4000〜30 秒,3.0,104.0,200,False,True,True,バリアングル液晶,510.0,131.9,100.7,77.8,3.0,4,45,,550,　,,,,False,　,False,,　,False,,,False,2016,3,3
409,PENTAX K-S1 300Wズームキット,66129,2012,,,5.4,1/6000〜30 秒,3.0,92.1,,False,False,False,　,498.0,120.0,92.5,69.5,3.0,20,43,,480,　,,,,False,　,False,,○,False,,,False,2014,9,3
410,D4S ボディ,488000,1623,,409600,11.0,1/8000〜30 秒,3.2,92.0,,False,False,False,　,1180.0,160.0,156.5,90.5,2.0,3,43,,3020,　,,,,False,○,False,,　,False,,,False,2014,3,3
411,EOS 8000D EF-S18-135 IS STM レンズキット,90000,2420,,2560,5.0,1/4000〜30 秒,3.0,104.0,200,False,True,True,バリアングル液晶,520.0,131.9,100.9,77.8,3.0,4,45,,550,　,,,,False,　,False,,　,False,,,False,2015,4,3
412,EOS Kiss X7i ボディ,52980,1800,,2560,5.0,1/4000〜30 秒,3.0,104.0,200,False,False,True,バリアングル液晶,525.0,133.1,99.8,78.8,3.0,4,45,,550,　,,,,False,　,False,,　,False,,,False,2013,4,3
413,D5300 ダブルズームキット2,65000,2416,,25600,5.0,1/4000〜30 秒,3.2,104.0,,False,True,False,バリアングル液晶,480.0,125.0,98.0,76.0,3.0,3,44,,600,　,,,,True,　,True,,　,False,,,False,2015,2,3
414,EOS Kiss X7i ダブルズームキット,72796,1800,,2560,5.0,1/4000〜30 秒,3.0,104.0,200,False,False,True,バリアングル液晶,525.0,133.1,99.8,78.8,3.0,4,45,,550,　,,,,False,　,False,,　,False,,,False,2013,9,3
415,H6D-100c ボディ,4501440,,,,,1/2000〜 秒,3.0,92.0,　,True,True,True,　,,,,,1.0,21,2,,,　,,,,False,　,False,,　,False,,,False,,,3
416,PENTAX K-30 18-135WRキット,58000,1628,,2560,6.0,1/6000〜30 秒,3.0,92.1,,False,False,False,　,590.0,128.5,96.5,71.5,3.0,20,43,,480,　,,,,False,○,False,,○,False,,,False,2012,6,3
417,D5300 18-140 VR レンズキット,75980,2416,,25600,5.0,1/4000〜30 秒,3.2,104.0,,False,True,False,バリアングル液晶,480.0,125.0,98.0,76.0,3.0,3,44,,600,　,,,,True,　,True,,　,False,,,False,2013,11,3
418,D7000 18-105 VR レンズキット,88000,1620,,25600,6.0,1/8000〜30 秒,3.0,92.0,,False,False,False,　,690.0,132.0,105.0,77.0,3.0,3,43,,1050,　,,,,False,○,False,,　,False,,,False,2010,10,3
419,D7100 16-85 VR レンズキット,119299,2410,,25600,7.0,1/8000〜30 秒,3.2,122.9,,False,False,False,　,675.0,135.5,106.5,76.0,3.0,3,43,,950,　,,,,False,○,False,,　,False,,,False,2013,3,3
420,EOS 7D Mark II EF24-70L IS USM レンズキット,219800,2020,,5120,10.0,1/8000〜30 秒,3.0,104.0,270,False,False,False,　,820.0,148.6,112.4,78.2,3.0,4,43,,800,　,,,,False,○,True,,　,False,,,False,2014,10,3
421,EOS Kiss X70 EF-S18-55 IS II レンズキット,47000,1800,,1280,3.0,1/4000〜30 秒,3.0,46.0,190,False,False,False,　,435.0,129.6,99.7,77.9,3.0,4,45,,600,　,,,,False,　,False,,　,False,,,False,2014,3,3
422,PENTAX K-S2 18-50REキット,58680,2012,,,5.5,1/6000〜30 秒,3.0,92.1,,False,True,False,バリアングル液晶,618.0,122.5,91.0,72.5,3.0,20,43,,480,　,,,,True,○,False,,○,False,,,False,2015,3,3
423,D800E ボディ,215000,3630,,25600,5.0,1/8000〜30 秒,3.2,92.0,,False,False,False,　,900.0,146.0,123.0,81.5,2.0,3,43,,900,　,,,,False,○,False,,　,False,,,False,2012,4,3
424,H6D-50c ボディ,2009880,,,,,1/2000〜 秒,3.0,92.0,　,False,True,True,　,,,,,1.0,21,2,,,　,,,,False,　,False,,　,False,,,False,,,3
425,PENTAX K-3 II 16-85WR レンズキット,129800,2435,,,8.3,1/8000〜30 秒,3.2,103.7,,False,False,False,　,700.0,131.5,102.5,77.5,3.0,20,43,,720,　,,,,False,○,True,,○,False,,,False,2015,6,3
426,PENTAX K-S1 ボディ,80000,2012,,,5.4,1/6000〜30 秒,3.0,92.1,,False,False,False,　,498.0,120.0,92.5,69.5,3.0,20,43,,480,　,,,,False,　,False,,○,False,,,False,2014,9,3
427,EOS 5D Mark III EF24-105L IS U レンズキット,409916,2230,,10240,6.0,1/8000〜30 秒,3.2,104.0,200,False,False,False,　,860.0,152.0,116.4,76.4,2.0,4,43,,950,　,,,,False,○,False,,　,False,,,False,2012,3,3
428,EOS 8000D ボディ,76464,2420,,2560,5.0,1/4000〜30 秒,3.0,104.0,200,False,True,True,バリアングル液晶,520.0,131.9,100.9,77.8,3.0,4,45,,550,　,,,,False,　,False,,　,False,,,False,2015,4,3
429,EOS Kiss X7 ダブルレンズキット,71500,1800,,2560,4.0,1/4000〜30 秒,3.0,104.0,160,False,False,True,　,373.0,116.8,90.7,69.4,3.0,4,45,,480,　,,,,False,　,False,,　,False,,,False,2013,11,3
430,EOS Kiss X7i EF-S18-55 IS STM レンズキット,88923,1800,,2560,5.0,1/4000〜30 秒,3.0,104.0,200,False,False,True,バリアングル液晶,525.0,133.1,99.8,78.8,3.0,4,45,,550,　,,,,False,　,False,,　,False,,,False,2013,4,3
431,EOS Kiss X80 ボディ,29780,1800,,1280,3.0,1/4000〜30 秒,3.0,92.0,190,False,True,False,　,440.0,129.0,101.3,77.6,3.0,4,45,,600,　,,,,False,　,False,,　,False,,,False,2016,4,3
432,Mamiya ZD ボディ,1382400,2150,,,1.2,1/4000〜30 秒,1.8,13.0,　,False,False,False,　,1200.0,161.5,152.0,90.8,1.0,22,43,,,　,,,,False,　,False,,　,False,,,False,,,3
433,SD1 ボディ,330000,4600,,,6.0,1/8000〜30 秒,3.0,46.0,　,False,False,False,　,700.0,145.5,113.5,80.0,3.0,13,43,,,　,,,,False,○,False,,　,False,,,False,2011,6,3
434,α77 SLT-A77V ボディ,120000,2430,,2560,12.0,1/8000〜30 秒,3.0,92.1,530,False,False,False,3軸チルト液晶,653.0,142.6,104.0,80.9,3.0,1,2,,470,　,,,,True,○,True,,○,False,,,False,2011,10,3
